timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1677729096855,318,Get_main,200,OK,TestAPI 1-91,text,true,,84805,117,1,1,http://airsense.vn/map,150,0,25
1677729097856,146,Get_main,200,OK,TestAPI 1-92,text,true,,84805,117,1,1,http://airsense.vn/map,68,0,27
1677729098853,151,Get_main,200,OK,TestAPI 1-93,text,true,,84805,117,1,1,http://airsense.vn/map,75,0,26
1677729099854,316,Get_main,200,OK,TestAPI 1-94,text,true,,84805,117,1,1,http://airsense.vn/map,163,0,30
1677729100855,316,Get_main,200,OK,TestAPI 1-95,text,true,,84805,117,1,1,http://airsense.vn/map,148,0,26
1677729101855,315,Get_main,200,OK,TestAPI 1-96,text,true,,84805,117,1,1,http://airsense.vn/map,144,0,26
1677729102856,244,Get_main,200,OK,TestAPI 1-97,text,true,,84805,117,1,1,http://airsense.vn/map,137,0,27
1677729103857,153,Get_main,200,OK,TestAPI 1-98,text,true,,84805,117,1,1,http://airsense.vn/map,74,0,28
1677729104859,213,Get_main,200,OK,TestAPI 1-99,text,true,,84805,117,1,1,http://airsense.vn/map,81,0,26
1677729105856,243,Get_main,200,OK,TestAPI 1-100,text,true,,84805,117,1,1,http://airsense.vn/map,141,0,26
